GENE	ES_A549
EED	-0.68
B3GNT1	-0.61
KCTD7	NA
EEA1	-0.8
MPST	0.25
POLG	-0.72
TRIM23	-0.67
CDH17	0.57
ERCC5	-0.37
CCK	0.55
MMP3	NA
SPIN1	-0.59
SERPINA1	0.63
RTL1	NA
PDE6D	-0.78
WFDC5	-0.61
PDE4B	-0.53
ACYP1	-0.61
SPO11	-0.36
NDUFA8	-0.51
TFPI	0.63
DCP2	-0.53
ZNF460	-0.51
RFX1	NA
RP11-109G10.3	-0.74
EFNA3	-0.54
CRYAB	0.63
ZNF160	-0.77
ALX4	-0.48
IL22RA1	0.63
SNX21	-0.58
CENPA	-0.41
ABCA2	NA
OR1L6	-0.8
PCDHB9	NA
HEMK1	-0.47
NID1	0.47
ANAPC10	-0.61
TXNDC4	-0.32
ARIH2	-0.41
GALNTL1	-0.74
ZNF549	NA
RAD51AP1	-0.55
AP4S1	NA
CAPN3	NA
ZFPM2	NA
PNPLA2	-0.81
GPR174	-0.61
HS3ST5	-0.8
GLRB	0.77
COPS6	-0.68
TLE3	0.45
CLGN	-0.38
GNB2L1	-0.46
LILRB1	0.47
ZBTB39	-0.41
TNFSF10	NA
NFATC1	NA
MFSD9	NA
UGT1A3	-0.51
TARDBP	-0.8
ACPL2	0.63
POU4F3	NA
NOX1	-0.63
SYT4	-0.57
ABCB5	NA
TMPRSS4	-0.36
ELOVL4	-0.6
GPR25	0.53
SFRS10	NA
P2RY13	-0.51
TULP3	-0.8
CRY1	0.43
DARS	-0.78
LOC399917	-0.74
POFUT2	-0.79
CDKL3	-0.7
HS3ST3A1	0.54
MAPK6	-0.8
POGZ	-0.32
NOD2	NA
PLA2G5	-0.6
RARS	-0.74
MS4A7	-0.66
GBGT1	-0.78
WDR57	-0.64
CHRNB4	-0.65
GLRX	-0.63
ABLIM3	-0.8
UHRF2	NA
FBXO24	0.57
NPFFR2	0.69
DDX47	-0.43
PATE	-0.7
CAMK1D	-0.8
SLC15A3	0.64
CD53	NA
SLC22A1	NA
BRIP1	NA
EXOSC2	-0.53
RHPN2	-0.7
RBMY1A1	-0.65
TNFRSF4	0.44
ISL2	-0.3
HTR3C	0.62
FANCF	-0.8
EDA	-0.56
CELSR3	0.36
CFD	0.73
PRKRIR	-0.71
SLC4A7	-0.64
SOX3	-0.76
EVC2	0.55
SF3B14	NA
ZNF174	-0.67
IRS2	0.66
HTR1E	-0.67
TP73L	NA
NARG1	-0.59
HPR	0.6
SOX8	NA
CDH5	-0.69
HOXB8	0.62
CAP2	-0.63
ADORA2A	0.33
ST6GALNAC3	-0.61
CSAD	-0.61
FLJ37464	NA
ARHGDIB	NA
CCNL1	-0.69
MTRR	0.43
P15RS	NA
ARS2	-0.76
RAB19B	0.62
CCL14	-0.51
ALDH7A1	-0.47
MYH2	NA
HAVCR1	-0.67
PUS7	-0.67
HSPA1L	-0.62
CTPS2	-0.57
NR5A1	0.56
RFXAP	NA
CDH23	-0.37
TRIM62	-0.43
WFDC9	0.55
PRKAB1	-0.62
GFOD2	-0.62
LTB	0.45
CARM1	-0.77
SCG2	-0.63
C10ORF83	NA
C6ORF55	-0.57
SYT10	-0.47
DTX2	NA
GPR81	NA
DPYSL4	0.62
RHBDL3	-0.56
SORBS1	-0.8
EIF2S2	-0.67
CYP2C8	NA
NOLC1	-0.52
RASIP1	-0.47
PXDNL	-0.47
BNIP3L	NA
RCCD1	NA
AP2S1	NA
SLC38A2	NA
ITGA7	-0.44
OR5AU1	-0.59
TOM1L2	NA
TTL	NA
OAS2	-0.67
TAF12	0.41
UBE2E2	0.57
RAMP2	NA
DDX19B	NA
UCP2	-0.75
U2AF1L4	-0.36
MS4A5	-0.45
NUP160	-0.72
ARSB	-0.77
TFAP2A	-0.46
ALDH4A1	-0.48
HSBP1	-0.77
ABCB10	0.39
CASR	NA
PGLYRP3	-0.84
NFRKB	-0.71
TRIM46	-0.62
THEM4	NA
PIK4CA	-0.69
TINAGL1	-0.8
MED12L	0.34
CHD2	NA
ARL9	0.62
RAPGEFL1	-0.45
PML	0.61
ATG4D	-0.68
CDIPT	NA
GTF3C5	-0.46
ASNS	-0.46
OLAH	-0.57
TOX2	0.35
SERPINB12	0.29
INPP4A	NA
MYLIP	-0.33
PTPN22	-0.52
SLC3A1	-0.47
SLC6A19	0.46
ETAA1	-0.54
CHL1	NA
PPP2R3A	-0.35
CRMP1	0.34
GNAI1	-0.63
CRK	-0.78
LTA	NA
ZNF364	NA
UGT1A4	NA
CABP5	0.25
AASS	-0.63
TNFRSF13C	-0.37
PRODH	0.35
GABRA2	-0.8
ADAMTS19	-0.42
MTMR4	0.34
RP11-223F20.1	NA
GPR3	-0.64
PLXNA1	-0.45
ATP5A1	-0.65
PTPRC	-0.79
SEMA4A	0.47
FBXL3	-0.27
ZNF217	-0.36
RBM25	-0.8
TAS2R9	NA
CHST4	-0.46
CCR5	-0.44
RND3	NA
SDC1	NA
BCL9L	-0.51
LEF1	-0.66
AHRR	-0.74
WFDC2	NA
FOXJ3	NA
RGS10	NA
VN1R1	NA
SMARCAL1	0.44
SLC1A3	-0.68
GATA5	-0.82
PJA2	-0.66
GAL3ST1	0.61
SLC6A10P	-0.56
TLR10	-0.43
CSF2	-0.44
PLCXD2	0.28
ZNF502	NA
PPAP2B	-0.83
ANP32A	NA
CCR8	-0.62
B3GALNT2	-0.74
CLCN1	NA
RIN2	NA
DHX37	-0.56
OXCT1	0.31
MLLT3	-0.48
KDELR1	-0.72
PPP1R3C	-0.54
NR0B2	0.61
ZNF177	-0.67
ADC	-0.61
ADCY9	-0.67
EHD3	0.39
PTPRM	-0.3
GPR141	NA
ARFRP1	NA
BZRPL1	-0.83
TMPRSS2	0.45
EMD	-0.54
PMM2	0.61
SLCO1A2	-0.55
PRPSAP1	-0.82
ERAL1	0.38
IGF2R	NA
PTPN14	0.61
MPP3	0.59
CCDC12	-0.72
FRZB	-0.56
SLC41A2	-0.63
AK2	-0.49
FAM64A	NA
PDIA6	0.49
HARS	-0.8
C1QBP	NA
LOC285544	0.38
SERPINB5	-0.51
PIWIL2	0.42
PSTPIP1	0.34
TRPA1	-0.42
LOC390299	0.39
TM9SF4	-0.66
AOF2	NA
ALDH1A3	-0.8
PIM3	NA
MUTYH	0.6
TAAR1	0.25
ABCB6	-0.27
UBE3B	0.51
IFNGR1	-0.82
PRMT7	-0.65
AMT	NA
ZBTB17	-0.69
PROS1	-0.8
MRPL38	0.44
GNAI3	0.6
ERLIN1	-0.37
SDCBP2	0.61
NRF1	-0.53
DACH2	NA
EDF1	-0.53
HNRPH3	NA
CBLC	0.73
TCF2	NA
RUNX2	-0.51
CCR1	-0.6
RNASE8	-0.83
ARPC3	-0.8
RBM9	NA
RAG1	NA
BARX2	0.61
OR1E1	-0.68
KCTD10	-0.78
UCKL1	NA
ZNF285A	NA
PGLYRP4	-0.61
CEACAM1	NA
MASP1	0.25
GALNT10	NA
ZNF70	-0.73
IKZF4	-0.69
LOC341098	0.67
PAP2D	-0.83
HERC3	-0.6
GPR158	-0.6
ETFB	0.55
MASTL	-0.65
ANXA4	0.41
ACACA	-0.69
AOX1	-0.71
GALNT14	NA
ADORA1	0.32
KLK12	0.4
CXCL1	-0.57
ATP6V0E1	NA
IL1F5	-0.43
PLA2G2E	-0.61
CIC	0.28
MGC4172	-0.76
CYP2C18	-0.73
CCL28	-0.8
NAALADL1	-0.61
ANP32E	NA
CACNA1B	NA
ADMR	-0.31
PEBP1	NA
BAZ2A	0.36
RASSF4	NA
LOC391661	-0.7
QTRT1	-0.67
NELL1	-0.73
FDFT1	-0.52
ZNF329	-0.6
FBXO34	0.56
AGTRAP	-0.57
MAD2L1	-0.8
ZNF417	-0.68
PPT2	NA
NDUFA12	-0.68
OSMR	-0.68
APP	NA
ACBD3	-0.62
MTM1	0.39
DHX15	-0.8
GRM4	0.45
TGM2	0.6
EIF4A2	-0.58
CD74	-0.58
LAMP1	-0.59
CTGF	NA
ADCYAP1R1	-0.81
PPP1R7	0.44
POT1	-0.58
TBX2	0.6
EXOSC1	NA
ARHGAP29	NA
KRT6B	NA
HGF	-0.53
RAB5A	-0.78
THA1P	-0.31
CCL19	0.6
TAS2R3	0.38
EXOSC7	0.37
CDK5R2	0.54
KRT5	-0.47
TRIM31	-0.69
LOC391747	0.31
DCHS1	-0.83
LMO3	-0.68
RALA	NA
C6ORF218	NA
GIT1	-0.43
IYD	NA
S100A4	NA
HIVEP3	-0.62
CRABP2	-0.81
NUP54	-0.57
SUMO3	-0.62
BMP6	-0.76
PGS1	NA
C4BPA	0.59
TNFRSF25	-0.37
C11ORF60	-0.37
MLCK	NA
G3BP2	-0.53
STAT1	-0.57
TCERG1L	-0.51
DNAJC16	0.33
UBE2L3	0.45
TMOD2	0.5
AKAP14	0.34
AUH	0.36
HERC5	-0.43
SLC25A3	0.6
PREX1	NA
FLAD1	-0.8
CST5	-0.48
CD55	-0.56
TRIM49	NA
FCRL5	-0.51
GNAL	0.35
OR2F1	0.48
CYP17A1	NA
LPP	0.4
FOXN1	-0.45
LGALS4	0.62
RNF40	-0.56
MYO9B	-0.59
TACR1	NA
PCDHGA8	-0.8
PCK1	-0.37
TMED6	NA
EIF3S1	-0.57
NEDD8	0.32
ZNF557	-0.45
ATP9B	-0.51
PPP3R2	-0.75
CD8A	NA
SR140	-0.79
MLNR	-0.71
IGFBP5	0.6
ZNF20	NA
CCKBR	0.59
HMCN1	-0.53
NPR2	-0.79
GRHL3	-0.53
MECR	-0.57
DDX41	-0.26
PRSS22	-0.6
L3MBTL2	-0.7
FKBP9	-0.69
MCEE	-0.74
LOC440582	NA
FAM108A1	-0.7
ZZEF1	-0.44
EDAR	-0.36
RASGEF1A	-0.56
ITPR1	-0.64
PPP2CA	-0.69
FOS	-0.58
RAPGEF5	0.44
SEMA6A	-0.36
KIAA1706	0.65
HAL	-0.83
PDE6H	NA
HIPK2	-0.5
CYP8B1	-0.67
PTER	-0.51
GNG13	NA
TAF5	-0.65
PCMTD2	-0.7
MRE11A	-0.67
DNASE2B	-0.72
PDCD6	NA
GPR88	NA
ZFHX4	NA
PKD1	0.41
CHI3L2	-0.76
KIAA1627	-0.79
ALDH3A1	0.59
H2BFM	-0.54
BDNF	-0.37
CHEK2	0.3
NFYA	-0.5
OR2L13	NA
KCNK15	0.59
TALDO1	-0.65
RP11-69O16.1	0.37
ADRA2C	-0.48
CCR2	NA
TPH2	NA
HSD17B3	-0.58
GCSH	NA
ADSSL1	-0.3
CHRNB3	0.39
IMPACT	NA
KCNJ4	-0.4
WFIKKN2	-0.51
STAT2	0.59
CHDH	-0.46
CLRN1	-0.5
COL5A1	-0.75
BLM	-0.4
HLA-DQA1	0.59
KRT17	-0.42
TAS2R16	NA
CTSW	0.49
LRP11	0.42
PARP1	-0.54
SETD7	-0.62
DPP3	NA
GNG4	-0.69
GDF7	-0.45
FECH	-0.64
FBN1	0.45
GRLF1	-0.62
FOXH1	-0.35
UBASH3A	-0.43
PPP1R16A	-0.43
SIGLEC11	-0.76
ADAMTS20	0.43
PAQR8	-0.64
PKM2	-0.54
PIK3C2G	-0.55
UEVLD	-0.53
ULK3	-0.62
GTPBP6	-0.65
SSB	-0.64
ARHGAP18	NA
BAZ1B	-0.67
TRIM50	NA
SIAH2	-0.56
SALL3	-0.56
NET1	-0.62
TXNIP	0.43
PDK4	NA
FLG	-0.38
PPEF1	-0.42
ZNF768	-0.42
GABRA4	-0.56
BRCA1	-0.47
MOBKL2B	NA
HTRA2	NA
GLUL	-0.37
TAF1C	NA
LDOC1	0.61
SLC4A5	-0.76
ACY1	-0.53
ZNF275	-0.46
TWF1	-0.83
N4BP2	-0.82
C2	-0.4
ZNF16	-0.45
SORL1	-0.56
API5	-0.43
RTCD1	-0.7
SLC4A4	-0.54
SMPD1	-0.55
LOC494115	0.37
UBL7	-0.49
AOAH	0.47
CSNK2A1	0.38
ISCU	-0.41
MYO5A	0.54
HDAC11	0.59
CBX8	-0.52
GALNT6	-0.79
MAP4K3	-0.81
APBB3	-0.79
ZNF207	NA
DSG1	-0.68
THOC3	-0.52
ADAM8	NA
ARRDC4	0.59
ABCD2	-0.77
ADCY8	0.62
TRPC4AP	-0.5
C21ORF6	-0.7
CCS	-0.51
ICAM5	0.53
C12ORF5	-0.6
RAB36	0.34
RAD9A	-0.79
NINJ2	-0.58
SOCS4	0.32
YWHAE	-0.59
ST6GALNAC6	-0.5
CAMK2G	-0.58
NARF	-0.39
LOC391763	0.51
PPME1	0.34
MED12	-0.76
RAB25	-0.57
OR52A1	-0.79
PRDM13	-0.58
LDLR	-0.71
SFRS7	-0.33
GRPR	0.31
FFAR3	0.54
OR7D4	-0.42
HARS2	-0.46
PGK2	-0.74
ZNF358	-0.56
TCF7L1	-0.68
DYNLL1	-0.66
CLEC12A	-0.33
SARS2	-0.77
ARMET	-0.61
DMAP1	NA
APOB	-0.65
PRMT3	NA
KCTD12	-0.7
SNF8	0.55
ABCB11	-0.61
HYAL2	-0.43
SLC39A10	0.39
ZFY	-0.75
ACAT1	-0.52
ABCC4	-0.7
AURKAIP1	0.34
LOC339879	-0.63
CASP8	-0.62
PLCZ1	-0.73
AP2A1	0.39
SLC17A8	0.4
SLA	-0.79
MED8	-0.57
NDUFA9	0.59
GAD1	0.3
HIPK1	-0.59
GATAD2B	-0.58
EPAS1	-0.66
PRPF38B	-0.73
ATP6V0C	NA
RRAS	-0.53
CCAR1	-0.65
FGF20	0.65
KIAA1618	NA
STS	-0.59
ZNRD1	-0.5
GLT6D1	-0.67
C16ORF28	NA
SLC26A1	0.33
NAALAD2	-0.7
LYRM4	-0.68
CPA2	NA
OR4D10	NA
RABGAP1	0.57
MATR3	-0.69
ZNF579	0.64
SCD5	-0.63
FGF7	-0.44
MYO7A	NA
USP20	-0.58
DBI	NA
OXER1	NA
IL29	0.32
FKBP3	-0.72
ABCB1	-0.71
APPBP1	-0.65
DDX49	-0.64
ELK1	NA
PGLS	0.28
FGD2	-0.38
ADRA2B	0.34
POLD3	NA
RNF13	-0.65
KLF8	0.58
ABAT	0.45
ECE1	0.33
KCNIP2	NA
RERG	NA
MBNL1	0.43
CYP1A2	-0.63
ZSCAN1	0.34
SPOCK3	-0.73
NDUFC1	-0.48
PHF21A	NA
FOXK2	-0.54
PDCL	-0.31
CASQ2	-0.34
UBE2U	-0.59
SURB7	0.58
TFAM	-0.51
FUT8	-0.62
DSG2	-0.67
CDKN3	0.38
CD300C	0.35
PIP5K2B	NA
RNPEP	-0.65
ZNF83	0.58
AP3M1	-0.67
EDA2R	NA
VAV2	0.29
OR56A4	-0.68
CASQ1	-0.33
ITGA9	-0.49
LOC441708	-0.39
PACSIN2	-0.41
ATR	-0.79
NEUROD4	0.43
ZNF514	-0.66
GLB1	-0.62
PPM1J	0.49
MS4A6E	-0.6
NUCB2	-0.44
PRRG1	0.58
SRP68	-0.5
TYRO3	-0.72
UPF1	-0.63
SP140	-0.7
BRUNOL4	-0.67
CPA4	-0.64
HIST2H2AA3	0.33
B3GALT4	-0.6
PCDHA5	-0.74
BRCC3	-0.71
DAPK3	NA
RNASE2	-0.61
BCAS2	-0.79
CD209	-0.59
BRDG1	NA
SH2D1A	-0.6
CROT	0.36
KLRC4	NA
DRD1	NA
ZBTB22	-0.71
FAM35A	NA
GIMAP1	NA
LHX1	-0.57
CABC1	-0.73
RP11-430N14.1	-0.58
SPOCK1	0.39
RP1-57A13.2	-0.75
DUSP1	0.37
ARNT	0.41
C5AR1	0.36
PDE4C	0.64
SFRS11	-0.41
PTGIS	0.43
PPT1	NA
CPS1	-0.64
ZAP70	-0.5
APOL4	NA
HCN3	0.37
AIFM1	-0.59
MPP6	-0.68
SUMO2	-0.53
METAP1	-0.76
BRS3	-0.79
SRPK2	-0.63
RMND5B	NA
NUDT14	-0.69
EDG2	NA
ZMYND8	0.55
CETN2	-0.5
CHRD	NA
COX4I1	-0.58
STX4	-0.53
MORG1	-0.57
ZNF643	-0.54
ALDH1B1	-0.74
RNF141	NA
SPTA1	NA
DUS1L	0.63
CX62	NA
NDUFA6	0.35
MEGF9	-0.74
EPHA8	0.58
OR10A5	0.35
MCART1	0.54
RAB9A	NA
SOCS5	-0.5
MAN1C1	NA
PAFAH1B3	0.44
PCMT1	-0.7
GSTP1	-0.34
ING3	-0.7
RANBP3	-0.79
OPTN	-0.51
GRIA1	-0.6
MAP3K1	-0.7
C14ORF93	-0.72
TCEA1	-0.6
FGD5	NA
DAZL	0.35
C1QA	-0.62
SLC9A8	-0.72
SMURF1	-0.73
PRKD3	-0.54
ATIC	-0.76
ME2	0.58
SDF2L1	NA
SOD2	-0.69
SEMA4D	0.57
NDUFS8	NA
BCDO2	-0.36
DNASE1	-0.42
STXBP2	NA
GPR161	0.54
CXCR4	NA
RAP2B	NA
DUSP3	-0.64
GRIK4	-0.39
SERPINE1	NA
PROC	0.48
GTF2A2	-0.55
CPNE3	0.35
MYCBP	-0.49
ALKBH5	-0.73
PHF10	NA
CD28	NA
TERF2IP	-0.54
GDF1	0.34
RUVBL2	-0.74
REEP4	NA
NDUFB3	0.57
ST3GAL3	NA
TARBP2	-0.44
HDAC2	-0.55
HRAS	-0.41
RHOA	-0.47
SFRS4	-0.78
BMI1	-0.64
ZNF585B	-0.62
ERBB2IP	-0.63
KRT75	-0.53
CTNNA1	-0.62
MMP25	-0.5
DGKB	0.57
TNFRSF1B	NA
CASP4	-0.53
DOT1L	NA
NDUFC2	-0.47
CPA6	NA
GP6	NA
TNFRSF10B	0.3
KIF5A	-0.53
ARIH1	-0.66
XAB1	-0.52
EBP	-0.47
EIF3S6IP	-0.82
EIF2B4	-0.86
SEMA3A	-0.51
DOPEY2	NA
ATP7A	-0.76
HIST1H2AC	NA
GAN	-0.28
CCDC28A	-0.39
RELB	NA
RPS4Y1	-0.6
BICD2	-0.51
SLC34A3	-0.66
MRGPRX4	0.36
C1ORF141	-0.56
LOC196463	NA
IMAA	-0.39
C5	-0.41
RFPL2	NA
FBXO9	NA
RNF25	-0.67
PFKP	0.49
FEZ1	0.47
AP1G1	-0.55
CASP1	-0.75
CHRM5	-0.35
ALDH1L1	-0.38
DHDH	-0.61
RHOT1	-0.78
ADH4	-0.58
FCRL2	-0.62
INSM2	-0.37
SERPINH1	-0.4
TAS2R10	-0.62
ACMSD	0.39
HAND1	NA
OR2T27	-0.64
HSF2	NA
CSTB	-0.77
B3GNT7	-0.55
LOC388642	-0.7
BRWD2	-0.59
KCTD8	NA
TDP1	-0.6
SCAP	-0.6
KCNK13	0.38
CLCA3	-0.78
LOC392347	-0.56
MMP10	NA
CDK5R1	0.34
SELE	-0.4
LOC401305	-0.55
TNFSF12	-0.54
PPP4C	-0.6
LRRFIP1	-0.71
CRABP1	-0.73
DNTTIP2	-0.76
LOC93432	0.39
PLSCR1	-0.49
SYNJ1	0.57
NRTN	0.46
AKAP6	NA
GTF3A	NA
C20ORF23	-0.61
SETBP1	-0.7
RFX2	0.5
EDNRB	0.44
C14ORF126	0.49
CCNB1	-0.5
LMLN	-0.59
CHD7	NA
PFN4	-0.7
RIT2	-0.47
FOXD4L1	NA
PPIH	-0.79
PDE1A	-0.56
CALCA	NA
SLC6A2	NA
KLK4	-0.39
CD164	-0.49
TRPM5	-0.42
NOLA2	-0.73
ELAVL1	-0.75
MARS2	NA
GPR162	0.27
PCDHGA6	-0.78
DPF1	-0.41
SRY	-0.46
ELA1	-0.68
AKT1	-0.51
PLAUR	-0.65
MYL6B	0.58
SEMA3E	0.46
SLC27A3	NA
ZNF215	-0.44
TBXA2R	0.5
TMEM1	-0.69
COX7B2	-0.52
CCDC6	0.52
FRAT1	-0.71
CCDC55	-0.34
FPRL1	NA
AQP12A	NA
CENTG3	-0.59
KRT13	NA
GLYAT	-0.47
PIP5K1C	-0.47
AASDH	-0.49
DUSP5	-0.55
PAFAH2	-0.69
ARNT2	0.46
LOC220594	-0.65
DMRT2	NA
NPL	-0.78
MRRF	-0.57
CEPT1	-0.7
CD34	-0.78
KIR3DX1	-0.32
BMP7	-0.78
DGKE	-0.46
MC4R	0.36
NUDT10	-0.6
H3F3B	0.36
SIM1	0.34
CYP11A1	-0.68
GLP1R	0.57
C11ORF61	NA
TMED1	NA
CLN3	0.5
MAPK10	0.33
NOXO1	-0.53
ADCY4	-0.78
SPTAN1	-0.56
COQ2	0.29
MS4A2	-0.41
PRKAG3	-0.44
RBAK	-0.63
AKT2	0.44
TMEM158	0.69
SPRY3	0.49
DDX3X	-0.56
TLR7	NA
GPR172A	0.51
RASGEF1C	0.46
BCL11B	-0.37
CXCL9	-0.78
TRIM54	0.55
CDX1	-0.62
BMP8B	-0.54
MAT2B	0.57
XPOT	-0.5
RFESD	NA
MAMDC1	NA
NDUFAF1	-0.62
MYL1	0.45
CASP9	NA
TGFA	NA
PAK1	-0.53
HTRA3	NA
CPXM2	-0.78
B4GALT5	-0.62
DGKI	0.33
HTR3E	-0.59
PDILT	NA
CD80	NA
GPR98	0.57
HSFX1	-0.48
CHD1	-0.63
PRSS3	NA
CHML	NA
ANXA2	-0.44
HCN2	NA
PPP2R5E	-0.68
DPYD	-0.78
LYZ	-0.47
NAT1	-0.57
SNAPC3	-0.62
ZNF7	-0.42
GGA1	NA
CD200	-0.6
AQP4	0.36
SCNN1D	NA
TAS2R1	NA
ZNF563	NA
LOC442744	-0.37
RBP2	-0.43
OGFRL1	-0.59
C19ORF48	0.45
LEP	-0.67
KLRC1	-0.65
CLEC4M	0.56
TMEM123	0.29
MESP2	-0.32
SLC35B3	-0.54
TPRKB	-0.48
JUNB	NA
NAGA	0.51
ITPKC	0.44
ZNF461	-0.54
ZNF614	-0.71
GALR1	NA
BCL7C	-0.72
IL11	-0.49
PCDHB15	NA
ZCCHC5	0.38
VPS26A	-0.61
MCM5	-0.63
ZNF266	-0.63
WHSC1	NA
FOXB1	-0.53
DUSP16	-0.32
VPS11	NA
DEFA5	-0.61
GAL3ST4	0.34
MARK1	-0.64
LOC388949	-0.58
ROR2	NA
TIGD6	-0.71
SFRS5	0.35
PLXNA4B	-0.46
RASSF5	NA
DECR2	NA
SRCRB4D	0.53
ECGF1	0.56
HTR3A	-0.34
ART4	-0.55
HRH1	0.38
EFCAB1	0.36
DNMT3L	NA
PKD2L1	-0.67
TRIP6	NA
SERPINI2	-0.51
FOXA2	NA
LGTN	NA
RSPO1	-0.55
SEC14L4	-0.71
NDST1	-0.71
PTPRZ1	0.35
SNAPC2	-0.33
CKB	-0.38
KCNK17	-0.78
ZNF607	NA
SFRS6	NA
GABRB2	-0.68
TRAF2	NA
CISH	0.62
PRKAG1	NA
LDB1	-0.66
RNF12	-0.25
KIT	-0.3
HSPA1B	0.56
MCHR1	NA
SEMA5A	-0.78
LOC346521	-0.48
BCL2L11	NA
C9ORF53	-0.66
GDI2	0.31
SLC2A3	-0.22
TRIM28	-0.33
AGER	-0.34
SEPN1	-0.6
WNT10B	0.56
SORCS3	-0.61
ST3GAL1	-0.49
ZNF440	NA
ZNF90	0.4
MAN2B2	-0.51
IHH	-0.49
DRD1IP	0.33
APOBEC2	0.46
SCG3	NA
HMOX2	-0.46
SLC35F2	-0.41
PRG2	NA
CACNB2	-0.56
FTL	-0.62
GRIN2D	-0.71
OR10R2	-0.76
CAV1	0.3
PPP3CC	-0.74
GRM7	-0.23
TULP1	-0.42
ITPR2	-0.81
GPR107	NA
CLN8	0.56
PRPS1L1	NA
NUDT4	-0.64
BRCA2	0.41
PPP2R3B	0.6
RTF1	NA
ASCL3	-0.59
F11R	-0.8
COL11A2	-0.58
HBA2	0.32
SCRG1	-0.61
ALDH18A1	NA
PCDHB2	NA
FBN2	-0.55
OCRL	-0.63
FAM120A	NA
ARPC4	-0.64
LTK	-0.7
TARS	-0.78
T	-0.27
ACVRL1	-0.5
DMRTC2	0.49
AP3B1	-0.78
SLC39A7	-0.64
GDF11	-0.76
QPCT	0.48
GABRR3	-0.31
CDC42BPG	-0.6
LOC440043	-0.63
LOC402388	-0.43
UTRN	-0.44
HOXD13	NA
GNG3	-0.46
PTPRO	-0.68
PCDHA4	NA
NKX2-6	-0.51
SUCLG1	-0.52
PTPRH	-0.65
MGAT1	NA
PLA2G12B	0.45
KIR3DL2	-0.7
THBS2	-0.65
TMED2	-0.49
LILRB4	-0.58
AKTIP	-0.58
TERF1	-0.52
RNF14	-0.85
FHL2	-0.77
DGAT1	0.45
CLN5	-0.69
HOP	NA
METTL3	NA
OR2C3	0.48
MMP17	NA
ALS2	-0.78
MTHFD2	0.33
PTH	-0.58
SLC16A12	NA
SCNM1	0.42
RAB26	-0.61
TNFRSF10C	0.44
CD69	-0.42
CHRAC1	-0.46
GPSM3	NA
TUBA3C	-0.61
DNASE1L3	-0.53
DKC1	-0.77
LOC400927	NA
INPP5D	-0.73
CCL2	-0.25
GPR123	-0.59
SLC1A1	-0.37
TNFRSF14	-0.43
NR4A1	0.61
GRIA4	-0.58
SSX2	0.45
CPM	NA
C4B	NA
F10	NA
DHX33	-0.68
ATP6V1C2	0.46
DGUOK	-0.69
RNF152	0.3
SMARCA4	NA
HCG_15200	-0.56
STAT5B	-0.57
RIPK1	-0.61
GBA3	-0.3
OGFR	0.56
LEFTY2	0.28
GPR75	-0.51
A2ML1	-0.44
PGF	0.54
RBP4	-0.55
RMND5A	-0.5
ZNF524	-0.5
TSP50	-0.66
AP4M1	0.39
TFE3	-0.35
GRASP	-0.37
DUPD1	NA
EFNA1	0.48
FZD8	-0.61
UBXD4	-0.65
RGL2	NA
GPR30	-0.72
RAI1	-0.75
PHYHD1	0.61
AYTL1	-0.65
LILRP2	-0.77
BTAF1	0.37
ADRA1D	NA
SPIN2A	-0.45
SOLH	-0.48
GRIK2	0.55
SLC26A9	-0.68
UBXD2	NA
RPL22	NA
CENTG1	-0.37
RACGAP1	NA
HDAC1	NA
OR4D1	-0.56
MEF2C	-0.53
PARK7	-0.49
ANGPT2	-0.56
LDHB	NA
THEM5	NA
KIR2DS3	0.41
SCARB1	-0.54
GLT8D1	0.34
IFI30	0.26
CLEC4G	-0.61
AMD1	-0.57
CRTAC1	NA
KLRK1	NA
CYP2E1	NA
MYOD1	0.45
MERTK	-0.55
GADL1	-0.77
TNNC2	-0.36
ECEL1	-0.72
MAML3	NA
MRPL12	NA
IL11RA	-0.46
GDPD2	-0.66
KCNK9	-0.47
GPR135	0.48
RPGRIP1	-0.57
RHBG	-0.38
CYB5A	-0.65
ARHGEF11	-0.71
PGM1	-0.59
BMPR2	-0.77
SEC14L1	-0.54
ALKBH3	NA
RBP1	-0.61
SLC22A2	0.38
EXO1	NA
HADHA	-0.36
ZNF146	0.36
ZNF227	0.55
MS4A6A	0.36
TXNDC13	-0.61
LEO1	-0.72
APOM	-0.77
GOT1	NA
PROKR1	0.41
PCDHA10	-0.37
REM2	0.44
AXIN2	NA
BCKDHB	0.55
NEK4	-0.45
ZFP91	-0.49
RHOBTB2	0.35
BAI3	-0.61
GNPDA1	-0.81
PHF17	-0.55
PCYT2	-0.76
HERPUD1	NA
MOBKL1A	-0.46
SUB1	0.42
MAPK7	-0.49
TFPI2	-0.59
PPYR1	-0.52
AURKC	0.56
CCNT1	-0.53
NTSR2	-0.71
VIP	NA
PPARA	-0.45
CCL4	0.36
NOX5	NA
NT5M	0.4
SLC25A22	-0.52
KMO	NA
SRD5A2	-0.45
OR2AK2	-0.4
CDC2	0.48
FOXO3A	0.55
FBLN1	-0.77
MAFF	0.26
KIAA0494	-0.61
TFCP2	NA
BRD8	0.48
AMY2A	-0.48
RPS6KA4	NA
ZNF441	-0.52
SNX27	NA
FLJ40869	NA
SFXN1	0.55
SKP2	-0.71
CST2	-0.53
TFRC	-0.63
PCDHGB2	-0.77
ADAM22	-0.71
SNX6	-0.56
GFRA2	-0.74
OR51D1	0.55
